Student_ID,Hours_Studied,Attendance,Assignment_Score,Previous_Result,Final_Result
33066,9,96,38,Fail,Pass
86559,10,67,43,Pass,Pass
39376,10,53,52,Pass,Pass
56024,9,51,73,Pass,Pass
71161,7,66,49,Fail,Pass
45333,1,81,71,Pass,Pass
71359,4,87,39,Pass,Pass
23435,6,87,37,Fail,Pass
43257,3,73,87,Pass,Pass
27169,7,69,72,Fail,Pass
65361,1,92,61,Pass,Pass
73399,5,49,50,Fail,Pass
61990,3,69,46,Pass,Pass
88073,6,83,39,Fail,Pass
32884,4,58,58,Pass,Pass
95269,3,76,33,Pass,Pass
26143,2,64,55,Pass,Pass
67233,3,47,83,Pass,Pass
67214,9,76,33,Fail,Pass
22366,1,54,72,Fail,Fail
97365,9,74,35,Pass,Pass
74943,5,88,89,Fail,Pass
29498,5,65,57,Fail,Pass
79027,9,67,48,Pass,Pass
31748,7,41,91,Fail,Pass
58847,4,46,99,Pass,Pass
86441,10,68,61,Fail,Pass
86751,8,90,100,Fail,Pass
71662,9,47,67,Fail,Pass
26123,4,78,83,Pass,Pass
67707,8,63,83,Fail,Pass
45184,4,88,54,Fail,Pass
56570,7,70,68,Fail,Pass
55925,5,47,76,Pass,Pass
69115,9,92,44,Pass,Pass
34959,8,57,47,Fail,Pass
92078,8,47,45,Fail,Pass
64777,4,70,48,Fail,Pass
99141,9,54,68,Fail,Pass
89526,2,73,91,Pass,Pass
84318,7,93,70,Pass,Pass
77081,6,100,91,Fail,Pass
12922,7,42,46,Pass,Pass
31686,2,45,83,Pass,Pass
69644,1,71,61,Fail,Fail
40327,2,79,41,Fail,Fail
60607,5,89,39,Pass,Pass
97657,8,53,47,Fail,Pass
46646,8,72,68,Pass,Pass
18012,7,76,77,Fail,Pass
67873,10,72,61,Pass,Pass
18475,2,56,82,Fail,Pass
50229,1,73,93,Pass,Pass
77981,8,92,37,Pass,Pass
16068,7,69,54,Pass,Pass
15053,4,94,93,Pass,Pass
73539,3,96,98,Pass,Pass
30887,9,57,99,Pass,Pass
70888,10,40,70,Fail,Pass
38028,9,66,71,Fail,Pass
26529,9,70,77,Pass,Pass
97016,1,88,89,Fail,Pass
37928,9,99,38,Pass,Pass
63951,6,89,45,Fail,Pass
67733,4,77,81,Pass,Pass
64098,5,91,53,Pass,Pass
88204,8,49,61,Pass,Pass
60824,4,48,93,Pass,Pass
79438,1,48,100,Fail,Pass
34838,10,65,50,Fail,Pass
68187,8,51,83,Fail,Pass
16629,9,75,69,Fail,Pass
84729,3,40,81,Fail,Pass
12627,4,54,34,Pass,Pass
42613,8,68,100,Fail,Pass
95854,9,66,74,Fail,Pass
33802,3,76,46,Pass,Pass
60831,8,57,65,Fail,Pass
94561,3,68,92,Fail,Pass
99083,2,69,91,Fail,Pass
86115,1,83,43,Pass,Pass
35780,6,48,83,Fail,Pass
81385,8,92,83,Fail,Pass
24723,2,96,33,Fail,Fail
81739,3,67,91,Fail,Pass
34464,6,98,63,Fail,Pass
52834,10,54,41,Pass,Pass
37513,1,58,45,Fail,Fail
45158,3,56,69,Fail,Pass
62391,6,79,96,Fail,Pass
15618,7,88,76,Pass,Pass
48105,9,51,90,Fail,Pass
57504,2,93,70,Fail,Pass
73850,9,76,41,Fail,Pass
38490,6,47,58,Pass,Pass
49806,9,62,78,Pass,Pass
44239,1,100,41,Fail,Fail
71039,2,76,100,Fail,Pass
88935,4,74,81,Pass,Pass
47104,8,78,49,Fail,Pass
45999,6,65,97,Fail,Pass
70578,4,65,76,Fail,Pass
51008,8,90,72,Pass,Pass
12019,3,66,76,Fail,Pass
41550,6,83,83,Fail,Pass
47403,4,90,58,Fail,Pass
42249,6,74,78,Fail,Pass
89014,6,44,94,Fail,Pass
50385,10,89,96,Fail,Pass
53819,10,93,89,Pass,Pass
68819,1,47,69,Pass,Pass
74149,8,63,51,Fail,Pass
87226,1,82,84,Fail,Pass
12787,10,70,46,Pass,Pass
70228,5,67,86,Pass,Pass
33038,4,51,86,Fail,Pass
47769,10,93,68,Fail,Pass
93323,5,68,59,Fail,Pass
70906,10,63,62,Pass,Pass
24823,8,78,94,Pass,Pass
70935,4,88,49,Pass,Pass
33261,8,77,34,Fail,Pass
83812,6,57,92,Fail,Pass
66878,9,71,65,Pass,Pass
67772,2,61,59,Fail,Fail
67956,8,75,67,Fail,Pass
12590,10,95,65,Pass,Pass
34163,8,99,94,Fail,Pass
57046,7,45,52,Fail,Pass
50747,2,54,59,Fail,Fail
92148,7,85,57,Fail,Pass
87438,1,69,71,Pass,Pass
71272,8,74,95,Fail,Pass
29710,5,53,50,Fail,Pass
67009,10,50,44,Fail,Pass
30505,7,41,45,Fail,Pass
89438,2,49,69,Pass,Pass
38549,3,70,73,Pass,Pass
99013,3,46,75,Pass,Pass
21900,3,78,95,Pass,Pass
94028,8,60,55,Pass,Pass
29450,10,48,43,Fail,Pass
11804,9,91,44,Fail,Pass
38558,7,41,31,Pass,Pass
30095,9,99,85,Fail,Pass
63315,4,43,82,Fail,Pass
42453,8,60,42,Pass,Pass
33977,5,88,83,Pass,Pass
87829,8,58,40,Fail,Pass
26446,2,56,83,Pass,Pass
59424,7,60,81,Fail,Pass
60247,5,64,67,Pass,Pass
45190,2,63,48,Fail,Fail
58812,1,47,77,Pass,Pass
77708,2,95,46,Pass,Pass
31800,10,89,81,Pass,Pass
81763,7,71,51,Fail,Pass
81497,9,94,62,Fail,Pass
46556,6,83,30,Fail,Pass
27220,3,67,37,Fail,Fail
53024,1,76,38,Pass,Fail
41251,9,89,46,Fail,Pass
58988,7,84,63,Pass,Pass
60925,5,98,94,Pass,Pass
52286,7,81,48,Fail,Pass
44164,1,70,66,Fail,Fail
63226,2,66,68,Fail,Pass
11733,6,86,97,Pass,Pass
38655,2,100,86,Pass,Pass
11926,9,40,76,Fail,Pass
13187,5,98,50,Pass,Pass
49163,7,59,72,Pass,Pass
45687,9,77,48,Pass,Pass
15471,7,40,46,Fail,Pass
25606,8,81,64,Pass,Pass
55648,10,67,49,Pass,Pass
54086,4,55,51,Fail,Pass
31671,8,65,77,Fail,Pass
93518,1,62,59,Fail,Fail
71406,1,72,31,Fail,Fail
28626,6,92,96,Pass,Pass
88409,2,49,85,Pass,Pass
64360,6,46,72,Fail,Pass
56079,8,78,87,Pass,Pass
30769,1,100,57,Fail,Pass
20594,2,99,64,Fail,Pass
93036,6,87,30,Fail,Pass
44707,8,81,93,Pass,Pass
70165,3,66,41,Pass,Pass
69751,8,48,92,Pass,Pass
21647,5,82,35,Fail,Pass
96067,5,61,70,Pass,Pass
77921,1,85,58,Pass,Pass
14646,7,47,61,Pass,Pass
50889,3,78,91,Pass,Pass
38267,5,68,83,Fail,Pass
31093,6,100,38,Pass,Pass
78890,10,89,35,Fail,Pass
49154,4,76,81,Pass,Pass
84561,10,71,67,Fail,Pass
68229,3,64,57,Fail,Pass
56183,5,61,36,Fail,Pass
40146,6,73,41,Fail,Pass
30451,6,48,75,Pass,Pass
46068,1,47,82,Fail,Pass
71781,2,60,88,Pass,Pass
76799,10,94,71,Fail,Pass
48320,9,79,72,Fail,Pass
11007,6,92,72,Pass,Pass
26106,7,58,79,Fail,Pass
58876,10,58,60,Pass,Pass
14571,3,95,96,Fail,Pass
29863,10,75,38,Fail,Pass
96891,7,41,34,Pass,Pass
32858,5,40,64,Fail,Pass
86509,8,75,89,Pass,Pass
25290,1,88,47,Pass,Pass
16921,2,43,89,Pass,Pass
35686,4,99,66,Pass,Pass
67326,6,94,92,Fail,Pass
71703,3,73,30,Pass,Pass
19514,2,70,69,Fail,Pass
82408,2,58,94,Fail,Pass
82334,6,89,33,Pass,Pass
45020,7,62,93,Fail,Pass
94364,9,43,75,Fail,Pass
37972,9,78,57,Pass,Pass
82985,6,68,56,Fail,Pass
33680,3,77,33,Fail,Fail
17554,9,46,57,Pass,Pass
99575,8,52,60,Pass,Pass
88358,6,52,52,Pass,Pass
59466,1,96,85,Pass,Pass
42543,10,42,65,Pass,Pass
17676,2,98,79,Pass,Pass
51360,7,80,42,Pass,Pass
84828,9,61,45,Fail,Pass
42654,1,85,35,Pass,Fail
93333,10,95,57,Fail,Pass
17436,3,64,57,Pass,Pass
27585,2,97,87,Pass,Pass
11569,8,77,82,Fail,Pass
49640,8,80,44,Pass,Pass
97721,8,94,74,Pass,Pass
81824,10,73,96,Pass,Pass
85873,10,97,56,Fail,Pass
77011,5,49,45,Fail,Pass
49915,3,91,34,Pass,Pass
37422,4,82,81,Fail,Pass
72621,7,70,83,Pass,Pass
90803,1,96,62,Pass,Pass
42824,8,49,100,Fail,Pass
96760,8,84,45,Fail,Pass
75323,3,63,75,Pass,Pass
36029,3,62,52,Pass,Pass
64518,2,51,72,Fail,Pass
62354,8,59,75,Pass,Pass
81249,1,55,90,Fail,Pass
42445,6,86,81,Pass,Pass
48355,4,67,75,Pass,Pass
43430,9,41,53,Fail,Pass
74842,8,52,83,Pass,Pass
96237,6,43,92,Pass,Pass
74679,8,58,36,Fail,Pass
91331,6,76,76,Fail,Pass
90905,9,91,45,Pass,Pass
66684,6,77,42,Fail,Pass
44899,3,42,88,Pass,Pass
92279,7,87,99,Fail,Pass
65079,10,79,51,Pass,Pass
96160,8,52,53,Fail,Pass
67533,3,79,81,Pass,Pass
35930,8,96,43,Fail,Pass
24727,1,43,89,Pass,Pass
36132,1,76,84,Fail,Pass
40698,4,99,52,Pass,Pass
25474,10,73,60,Pass,Pass
77536,2,63,100,Pass,Pass
32750,7,79,75,Pass,Pass
70309,4,44,75,Pass,Pass
30506,6,93,64,Fail,Pass
84937,7,85,99,Fail,Pass
82272,6,75,35,Fail,Pass
37913,7,85,56,Fail,Pass
69651,9,94,87,Fail,Pass
71663,10,52,87,Pass,Pass
87524,3,85,33,Pass,Pass
13334,10,66,63,Pass,Pass
46390,7,67,61,Pass,Pass
89349,3,68,69,Pass,Pass
34485,8,85,74,Fail,Pass
50095,5,95,30,Pass,Pass
26048,4,60,61,Pass,Pass
66256,6,73,47,Fail,Pass
57660,7,44,91,Pass,Pass
70626,1,70,70,Fail,Pass
99708,8,41,96,Pass,Pass
96041,10,57,76,Pass,Pass
54322,8,50,80,Pass,Pass
47385,1,55,86,Fail,Pass
96530,2,68,41,Pass,Pass
87741,3,87,50,Fail,Pass
36886,6,41,88,Pass,Pass
94948,1,57,94,Fail,Pass
61098,2,40,36,Fail,Fail
74763,8,60,72,Fail,Pass
56524,10,58,36,Pass,Pass
53895,7,52,100,Pass,Pass
31251,5,100,95,Fail,Pass
73520,3,86,50,Fail,Pass
86471,10,100,86,Pass,Pass
99049,9,64,78,Pass,Pass
83234,9,64,61,Fail,Pass
49698,2,92,80,Pass,Pass
38982,2,81,82,Fail,Pass
38432,7,99,62,Fail,Pass
54415,8,54,36,Pass,Pass
88847,2,87,45,Fail,Fail
77296,8,63,89,Fail,Pass
25972,8,41,46,Fail,Pass
87693,3,83,75,Fail,Pass
63425,6,80,77,Pass,Pass
59243,2,63,89,Fail,Pass
50780,10,96,40,Fail,Pass
62529,8,95,52,Fail,Pass
13818,10,65,68,Fail,Pass
45607,2,92,31,Fail,Fail
21730,5,71,65,Fail,Pass
44123,3,69,94,Fail,Pass
26308,3,46,76,Pass,Pass
43440,2,77,49,Pass,Pass
41928,5,89,92,Fail,Pass
95473,7,71,70,Fail,Pass
80956,6,62,41,Pass,Pass
86302,9,67,57,Pass,Pass
72482,3,92,87,Pass,Pass
74863,10,99,63,Fail,Pass
63707,7,71,64,Pass,Pass
23335,3,45,73,Pass,Pass
13206,6,84,34,Pass,Pass
92724,2,71,52,Fail,Fail
52340,3,66,90,Pass,Pass
61300,8,93,84,Pass,Pass
74336,4,40,93,Pass,Pass
26946,4,56,34,Pass,Pass
29304,4,59,37,Pass,Pass
18997,1,95,90,Pass,Pass
83736,7,79,49,Pass,Pass
43832,1,85,97,Pass,Pass
76508,9,82,100,Pass,Pass
60146,10,64,87,Pass,Pass
35637,2,94,32,Pass,Pass
41678,1,42,80,Pass,Pass
83685,8,97,41,Fail,Pass
72759,9,100,100,Fail,Pass
26431,6,41,94,Fail,Pass
69208,8,61,72,Fail,Pass
16804,3,87,50,Fail,Pass
26016,10,46,70,Pass,Pass
89646,2,84,42,Pass,Pass
51416,2,50,42,Pass,Fail
44386,6,41,87,Fail,Pass
28606,3,83,56,Fail,Pass
31516,8,84,56,Pass,Pass
69404,1,43,59,Pass,Fail
59868,3,86,76,Fail,Pass
36155,1,58,97,Pass,Pass
92784,10,90,89,Pass,Pass
56578,7,99,60,Pass,Pass
27445,7,72,82,Fail,Pass
90522,1,93,47,Fail,Fail
48076,10,85,51,Pass,Pass
81030,4,40,96,Fail,Pass
61916,9,84,94,Pass,Pass
67324,2,58,86,Fail,Pass
37602,4,40,92,Fail,Pass
51982,1,89,75,Fail,Pass
11374,4,100,48,Fail,Pass
87489,6,82,39,Pass,Pass
98785,9,82,82,Pass,Pass
73061,7,91,57,Fail,Pass
48352,6,57,61,Fail,Pass
29522,3,69,43,Fail,Fail
45979,5,82,65,Fail,Pass
11951,6,72,47,Pass,Pass
16678,1,65,68,Pass,Pass
73413,7,58,96,Fail,Pass
58206,8,91,55,Pass,Pass
85483,2,56,83,Pass,Pass
44755,2,69,47,Fail,Fail
64675,1,87,44,Fail,Fail
77869,9,48,53,Pass,Pass
13098,3,45,82,Pass,Pass
27844,5,99,44,Fail,Pass
58283,6,63,81,Pass,Pass
83322,9,74,84,Fail,Pass
97083,8,81,79,Pass,Pass
60182,5,63,94,Pass,Pass
63713,1,77,70,Fail,Pass
30584,9,63,38,Pass,Pass
89151,1,63,75,Pass,Pass
24829,9,74,76,Pass,Pass
27231,9,98,74,Fail,Pass
32866,10,66,76,Fail,Pass
66486,3,63,66,Fail,Pass
16385,9,93,36,Fail,Pass
41892,9,85,73,Fail,Pass
12118,7,74,100,Pass,Pass
54457,6,53,72,Pass,Pass
91314,7,60,99,Fail,Pass
29004,7,58,85,Pass,Pass
95314,4,96,95,Fail,Pass
63959,5,58,64,Fail,Pass
39190,6,99,59,Pass,Pass
71215,9,63,65,Pass,Pass
76495,6,63,43,Fail,Pass
82428,10,96,99,Fail,Pass
19901,4,88,49,Pass,Pass
84421,7,58,78,Fail,Pass
65730,9,48,71,Fail,Pass
69843,8,65,89,Fail,Pass
91857,4,67,93,Fail,Pass
12381,3,43,76,Pass,Pass
60743,5,63,30,Pass,Pass
39080,5,74,47,Pass,Pass
12868,6,85,79,Pass,Pass
14676,6,93,51,Fail,Pass
38178,7,51,38,Fail,Pass
96366,1,61,57,Fail,Fail
90834,4,67,54,Pass,Pass
41127,2,75,79,Fail,Pass
36755,6,77,84,Fail,Pass
86772,4,44,71,Fail,Pass
28065,2,95,36,Pass,Pass
70917,1,63,97,Pass,Pass
68361,3,79,41,Fail,Fail
65406,3,67,33,Pass,Pass
36522,9,65,35,Fail,Pass
96412,2,93,30,Pass,Pass
18177,9,48,79,Fail,Pass
14338,5,78,54,Fail,Pass
43611,8,83,45,Pass,Pass
64898,7,58,100,Fail,Pass
95566,4,62,99,Fail,Pass
78944,6,92,77,Fail,Pass
57396,7,42,87,Pass,Pass
86184,7,80,34,Pass,Pass
31228,4,69,77,Fail,Pass
38724,3,100,84,Pass,Pass
14409,8,55,38,Fail,Pass
79246,3,94,64,Fail,Pass
81735,3,74,79,Fail,Pass
11365,9,53,99,Pass,Pass
23477,1,63,51,Fail,Fail
89790,1,96,95,Fail,Pass
63706,6,76,44,Fail,Pass
57581,10,96,48,Pass,Pass
67781,6,64,94,Pass,Pass
63521,5,43,91,Fail,Pass
83061,4,91,87,Fail,Pass
94795,9,59,73,Pass,Pass
32714,8,87,55,Pass,Pass
63017,9,97,97,Fail,Pass
60039,4,58,72,Pass,Pass
95865,8,89,33,Pass,Pass
14077,7,81,54,Pass,Pass
42668,4,43,45,Pass,Pass
51690,6,71,63,Fail,Pass
52454,5,89,58,Fail,Pass
12542,2,67,50,Fail,Fail
39243,1,79,95,Pass,Pass
99078,6,90,74,Pass,Pass
45780,4,94,80,Fail,Pass
28233,5,81,59,Fail,Pass
65337,1,61,61,Fail,Fail
22443,6,91,67,Pass,Pass
38312,7,54,57,Fail,Pass
54996,4,43,34,Pass,Fail
92571,9,78,95,Pass,Pass
60525,3,61,66,Fail,Pass
69002,2,77,100,Pass,Pass
69799,6,75,68,Fail,Pass
33457,2,86,44,Fail,Fail
15654,4,63,32,Fail,Fail
55836,6,76,87,Fail,Pass
35432,10,73,76,Pass,Pass
39491,6,68,95,Pass,Pass
40725,7,81,61,Pass,Pass
76747,6,80,86,Pass,Pass
56683,7,46,89,Pass,Pass
33287,6,70,89,Fail,Pass
35804,7,82,82,Pass,Pass
84050,5,64,32,Pass,Pass
87960,1,72,94,Pass,Pass
98860,9,70,40,Pass,Pass
23222,2,96,84,Pass,Pass
99023,4,82,38,Fail,Pass
66151,8,70,38,Fail,Pass
12612,9,78,39,Pass,Pass
30579,9,84,58,Pass,Pass
10585,6,47,74,Pass,Pass
31295,2,46,94,Fail,Pass
14600,4,74,80,Pass,Pass
41809,2,96,72,Pass,Pass
18510,4,57,39,Fail,Fail
76736,3,80,78,Fail,Pass
31681,1,60,40,Fail,Fail
63049,10,64,58,Fail,Pass
83408,1,98,59,Fail,Pass
33199,1,96,99,Pass,Pass
54630,1,78,36,Fail,Fail
26929,3,76,39,Pass,Pass
36471,6,68,66,Pass,Pass
25682,8,78,33,Fail,Pass
82834,4,93,77,Fail,Pass
60330,9,94,37,Pass,Pass
26651,8,65,72,Pass,Pass
16609,10,54,72,Pass,Pass
73720,10,62,69,Pass,Pass
90459,8,47,93,Pass,Pass
94766,2,41,58,Pass,Pass
39271,4,41,41,Fail,Fail
12314,3,46,74,Fail,Pass
90255,9,80,58,Fail,Pass
33075,4,90,65,Pass,Pass
43600,2,57,40,Pass,Fail
66672,9,77,84,Fail,Pass
14458,10,57,52,Pass,Pass
39394,4,62,49,Fail,Pass
66752,2,49,68,Fail,Fail
79257,7,85,82,Pass,Pass
55257,5,75,67,Pass,Pass
86138,3,99,56,Pass,Pass
23658,6,41,79,Pass,Pass
15083,7,98,52,Pass,Pass
11148,9,75,83,Fail,Pass
18019,8,95,94,Fail,Pass
20635,3,78,70,Fail,Pass
60266,6,58,82,Fail,Pass
25573,6,76,67,Pass,Pass
24651,9,53,58,Fail,Pass
28220,10,61,81,Fail,Pass
45365,10,97,59,Fail,Pass
84508,3,84,100,Fail,Pass
17936,5,63,39,Fail,Pass
53513,6,42,72,Pass,Pass
57440,8,81,30,Pass,Pass
58623,3,68,31,Pass,Pass
96355,5,72,92,Fail,Pass
15999,1,51,65,Pass,Pass
16342,9,94,53,Fail,Pass
71219,2,79,66,Pass,Pass
31238,4,60,44,Pass,Pass
21177,1,53,99,Pass,Pass
23917,6,47,63,Pass,Pass
68161,8,82,87,Fail,Pass
77475,3,45,33,Pass,Fail
59775,9,73,35,Pass,Pass
23460,6,44,74,Fail,Pass
45853,5,87,35,Pass,Pass
81532,8,57,61,Pass,Pass
97692,6,82,96,Fail,Pass
84932,6,76,51,Pass,Pass
11083,9,78,70,Fail,Pass
32221,7,49,100,Fail,Pass
96839,10,86,63,Pass,Pass
61217,10,55,68,Pass,Pass
51635,8,62,77,Fail,Pass
53223,7,83,77,Pass,Pass
48837,3,77,81,Fail,Pass
21757,4,64,59,Pass,Pass
97277,1,82,78,Pass,Pass
71901,1,90,89,Pass,Pass
68932,3,75,81,Fail,Pass
44814,7,97,57,Pass,Pass
66830,10,93,71,Pass,Pass
37523,9,88,93,Pass,Pass
23527,8,64,71,Pass,Pass
90317,9,46,47,Fail,Pass
22934,8,56,45,Fail,Pass
13810,8,84,35,Fail,Pass
10090,6,56,60,Pass,Pass
38233,10,54,88,Pass,Pass
21512,6,49,35,Fail,Pass
38020,6,40,69,Pass,Pass
84310,7,59,60,Pass,Pass
29337,2,45,80,Fail,Pass
15189,1,78,94,Pass,Pass
25739,9,71,60,Pass,Pass
60458,7,70,68,Fail,Pass
95710,9,84,76,Fail,Pass
18978,2,45,44,Pass,Fail
38081,10,58,78,Fail,Pass
78093,5,74,52,Pass,Pass
43122,5,64,70,Fail,Pass
47744,9,90,45,Fail,Pass
64780,4,72,44,Fail,Pass
59543,4,76,83,Fail,Pass
33982,1,96,64,Fail,Pass
33668,3,97,55,Fail,Pass
43605,4,64,47,Fail,Pass
13692,4,46,72,Fail,Pass
72883,8,63,94,Pass,Pass
83819,7,67,60,Pass,Pass
11164,1,86,93,Fail,Pass
71963,2,87,83,Fail,Pass
89490,5,41,50,Fail,Pass
45334,6,94,43,Fail,Pass
40715,5,59,63,Fail,Pass
49015,8,42,45,Fail,Pass
32295,5,53,58,Pass,Pass
42288,6,40,49,Fail,Pass
31424,9,86,92,Pass,Pass
52371,9,60,81,Pass,Pass
49459,3,54,69,Fail,Pass
14692,7,61,48,Pass,Pass
74109,2,70,68,Pass,Pass
21146,7,59,86,Fail,Pass
11750,10,91,52,Fail,Pass
85844,3,51,65,Fail,Pass
84848,2,89,50,Pass,Pass
30277,9,80,88,Fail,Pass
97014,5,86,55,Pass,Pass
14096,1,52,74,Fail,Fail
79128,8,80,59,Fail,Pass
